model,vintage,sample,n_quarters,rmse,mae,bias,dm_stat,dm_pval,dm_mean_diff
bridge_ICSA,1,ex_covid,0,,,,,,
bridge_ICSA,2,full,85,7.792868846066867,4.729254699569414,0.09471724078236704,0.4072242810612069,0.6838432696048842,5.9243968171303765
bridge_ICSA,2,pre_covid,60,4.768572163571684,4.223535474678528,-0.5875747825703912,-5.381500437729941,7.386752402898582e-08,-16.65236247266043
bridge_ICSA,2,ex_covid,79,4.34662804926132,3.7571233003617186,-0.3862990703034441,-1.437976255093314,0.1504407915280489,-8.620170325976908
bridge_ICSA,3,full,85,7.220787039384408,3.0776746911322066,-0.28784130838864563,1.3088889226691311,0.1905719794507852,14.513436200988094
bridge_ICSA,3,pre_covid,60,2.6391782848998684,2.173279154185841,-0.851026430498454,-0.4807470297396117,0.6306963015610193,-0.8783440129566988
bridge_ICSA,3,ex_covid,79,2.44842161459248,1.978193311536006,-0.6760499439497559,0.8684842762336544,0.3851292764342771,4.27823666984471
bridge_INDPRO,1,full,0,,,,,,
bridge_INDPRO,1,pre_covid,0,,,,,,
bridge_INDPRO,1,ex_covid,0,,,,,,
bridge_INDPRO,2,full,85,3.9004678834306667,2.581332616265734,0.4928545966775164,1.1139518679583083,0.26529983603790763,51.439551959455834
bridge_INDPRO,2,pre_covid,60,2.8794801470110825,2.1428363627575298,-0.20141602965851563,-1.641206495583638,0.10075455782025154,-2.2044879105006547
bridge_INDPRO,2,ex_covid,79,2.95456311804094,2.176710432527745,0.07212860223987705,0.3015474790008282,0.7629970507712697,1.5435618541605602
bridge_INDPRO,3,full,85,4.4115800408856725,2.446431532763411,0.24349129326331398,1.1938029130593486,0.23255507190665603,47.1911632119891
bridge_INDPRO,3,pre_covid,60,2.323951920063579,1.6981888580145927,-0.22840856780637397,0.8275651894033185,0.40791678926817,0.6861654797631145
bridge_INDPRO,3,ex_covid,79,2.2645264144206143,1.7101118332523466,-0.10003607328448572,1.0849101433507349,0.2779614550129398,5.144925191039673
bridge_NASDAQCOM,1,full,0,,,,,,
bridge_NASDAQCOM,1,pre_covid,0,,,,,,
bridge_NASDAQCOM,1,ex_covid,0,,,,,,
bridge_NASDAQCOM,2,full,85,7.261328917096348,2.698722101246446,0.005165933554110116,1.4935099096631643,0.13530376222976784,13.926304026870303
bridge_NASDAQCOM,2,pre_covid,60,2.0159098059287675,1.4806335119131124,-0.49248856748669484,1.4915343482831644,0.13582126018517904,2.02302566089055
bridge_NASDAQCOM,2,ex_covid,79,1.9774488614921537,1.4950429320377359,-0.333409832008381,1.3959255164792166,0.1627369258492436,6.362701072831742
bridge_NASDAQCOM,3,full,85,7.276318882900963,2.6855746302030106,0.018021096223066874,1.4889811445538312,0.13649233398625038,13.708385183468822
bridge_NASDAQCOM,3,pre_covid,60,2.0529188010327983,1.504036519874124,-0.45329152143707313,1.6401023325318655,0.10098389152937079,1.872442402896369
bridge_NASDAQCOM,3,ex_covid,79,1.9722057499918644,1.4736117280878958,-0.3265879589388653,1.3982585498041313,0.1620354402682722,6.383409552347387
bridge_PAYEMS,1,full,0,,,,,,
bridge_PAYEMS,1,pre_covid,0,,,,,,
bridge_PAYEMS,1,ex_covid,0,,,,,,
bridge_PAYEMS,2,full,85,14.50289882361331,3.5309829446845824,1.173461445928369,-0.9265003373134009,0.35418602189192394,-143.68087261883443
bridge_PAYEMS,2,pre_covid,60,2.0943920887506664,1.6275946359613622,-0.5138589252221668,1.3188595234246676,0.1872160802348184,1.7004397851089301
bridge_PAYEMS,2,ex_covid,79,2.18132875932298,1.722186465955031,-0.6003996038556056,1.3082575252566355,0.19078597649354034,5.514809916398821
bridge_PAYEMS,3,full,85,4.854186837224178,2.2702122914308114,0.06582748270422267,1.1910050057556207,0.23365161976014892,43.09007181844947
bridge_PAYEMS,3,pre_covid,60,1.8594393401022382,1.44990505836324,-0.5656731346904705,1.6043498715519402,0.10863695392380114,2.6294033470104647
bridge_PAYEMS,3,ex_covid,79,1.991547923085412,1.5500706722311939,-0.6056111642434894,1.4706186666067589,0.141394272897297,6.306741942702541
bridge_PCEPI,1,full,0,,,,,,
bridge_PCEPI,1,pre_covid,0,,,,,,
bridge_PCEPI,1,ex_covid,0,,,,,,
bridge_PCEPI,2,full,85,7.040115818732871,2.832006166861563,-0.12971950784098799,1.3398353734123447,0.18029887260063404,17.089970927957133
bridge_PCEPI,2,pre_covid,60,2.399057973738232,1.664838482510814,-0.33945301262039085,0.49345782766218027,0.6216891310182096,0.33143884517331856
bridge_PCEPI,2,ex_covid,79,2.4170678176717004,1.7528629746206277,-0.4729610593037698,0.9981289215412593,0.3182168474066882,4.430788237424121
bridge_PCEPI,3,full,85,7.095259094138635,2.7883328052839347,-0.12544505466080103,1.339321497823424,0.1804660331384199,16.310500056172927
bridge_PCEPI,3,pre_covid,60,2.3919180601161254,1.62305773781291,-0.3372768591298632,0.48546949978188925,0.6273433429819504,0.3656460002206231
bridge_PCEPI,3,ex_covid,79,2.414530164096936,1.6893580090431675,-0.46228029041736524,1.01840070064192,0.3084875693723398,4.443049159314383
bridge_RSAFS,1,full,0,,,,,,
bridge_RSAFS,1,pre_covid,0,,,,,,
bridge_RSAFS,1,ex_covid,0,,,,,,
bridge_RSAFS,2,full,85,6.508736169630689,2.4117232676280884,0.32358230413061634,1.4216358301098495,0.15513199758311097,24.289555143271166
bridge_RSAFS,2,pre_covid,60,2.1744684222233905,1.569430800609351,-0.572321679506577,1.2731792174430678,0.20295445353111075,1.358605087283628
bridge_RSAFS,2,ex_covid,79,2.1076707348064185,1.5573348196190415,-0.44141030634030853,1.3071652183014262,0.1911566054252568,5.830729146288931
bridge_RSAFS,3,full,85,7.489739663662906,2.819921355635828,-0.09106559972154658,1.4244516933839437,0.15431575926000413,10.557001439684587
bridge_RSAFS,3,pre_covid,60,2.0787286637800024,1.6095560811544816,-0.6371777316309741,1.503756915063439,0.1326439685582382,1.765805148909715
bridge_RSAFS,3,ex_covid,79,2.0290205167592976,1.5820222065901588,-0.48661417157297754,1.371976092884181,0.17007088033085027,6.156080815218189
bridge_T10Y2Y,1,full,0,,,,,,
bridge_T10Y2Y,1,pre_covid,0,,,,,,
bridge_T10Y2Y,1,ex_covid,0,,,,,,
bridge_T10Y2Y,2,full,85,7.165362165477527,2.7303330638948413,0.14784258201201464,1.5225372892109845,0.1278745093793028,15.310786706673131
bridge_T10Y2Y,2,pre_covid,60,1.958228970947715,1.4642847013294602,-0.42911821305024767,1.4577292898850762,0.14491517525337427,2.252257303871364
bridge_T10Y2Y,2,ex_covid,79,1.9815407413567916,1.510066854286282,-0.24715734933895067,1.4075224763899592,0.15927251717964308,6.3465013629915354
bridge_T10Y2Y,3,full,85,7.19380743326991,2.764513711563451,0.05701750836481876,1.4965051393780162,0.13452206963112534,14.90233628216051
bridge_T10Y2Y,3,pre_covid,60,2.0656412780321576,1.4997630854803605,-0.47556703096574354,1.5449388177172356,0.12236106298049496,1.8200441170199857
bridge_T10Y2Y,3,ex_covid,79,2.056360348903887,1.5449731557532593,-0.3473046057806886,1.3494972500700253,0.17717730301998924,6.044387188104242
